Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,1012361-annotations
Adaptation Fund,,2011,46352520,
Adaptation Fund,,2012,24062844,
Adaptation Fund,,2013,6787970,
Adaptation Fund,,2014,40233696,
Adaptation Fund,,2015,47858708,
Adaptation Fund,,2016,43762116,
Adaptation Fund,,2017,33478756,
Adaptation Fund,,2018,51300250,
Adaptation Fund,,2019,67645880,
Adaptation Fund,,2020,78816630,
Adaptation Fund,,2021,61590470,
Adaptation Fund,,2022,67691430,
Adaptation Fund,,2023,107216290,
African Development Bank,,2001,107129144,
African Development Bank,,2002,146304140,
African Development Bank,,2003,111550240,
African Development Bank,,2004,182020350,
African Development Bank,,2005,196291860,
African Development Bank,,2006,208628930,
African Development Bank,,2007,187412200,
African Development Bank,,2008,179800720,
African Development Bank,,2009,176239410,
African Development Bank,,2010,132897384,
African Development Bank,,2011,123231260,
African Development Bank,,2012,115484170,
African Development Bank,,2013,142687440,
African Development Bank,,2014,136798300,
African Development Bank,,2015,136175520,
African Development Bank,,2016,177674220,
African Development Bank,,2017,130064424,
African Development Bank,,2018,102481600,
African Development Bank,,2019,13952953,
African Development Bank,,2020,7062526,
African Development Bank,,2021,8724654,
African Development Bank,,2022,5666543,
African Development Bank,,2023,8578739,
"African Development Bank, Total",,1965,-446487,
"African Development Bank, Total",,1966,-276398880,
"African Development Bank, Total",,1967,-270981150,
"African Development Bank, Total",,1975,14932120,
"African Development Bank, Total",,1976,39710132,
"African Development Bank, Total",,1977,90419464,
"African Development Bank, Total",,1978,118210710,
"African Development Bank, Total",,1979,144603570,
"African Development Bank, Total",,1980,232369730,
"African Development Bank, Total",,1981,224267620,
"African Development Bank, Total",,1982,311085980,
"African Development Bank, Total",,1983,400858240,
"African Development Bank, Total",,1984,287709280,
"African Development Bank, Total",,1985,542103800,
"African Development Bank, Total",,1986,576044000,
"African Development Bank, Total",,1987,683307800,
"African Development Bank, Total",,1988,597182000,
"African Development Bank, Total",,1989,829322200,
"African Development Bank, Total",,1990,927945300,
"African Development Bank, Total",,1991,925490100,
"African Development Bank, Total",,1992,950480200,
"African Development Bank, Total",,1993,978985800,
"African Development Bank, Total",,1994,805736400,
"African Development Bank, Total",,1995,694899460,
"African Development Bank, Total",,1996,769500100,
"African Development Bank, Total",,1997,816166000,
"African Development Bank, Total",,1998,811609600,
"African Development Bank, Total",,1999,637247170,
"African Development Bank, Total",,2000,432439500,
"African Development Bank, Total",,2001,745223700,
"African Development Bank, Total",,2002,1055564350,
"African Development Bank, Total",,2003,745480200,
"African Development Bank, Total",,2004,1299097100,
"African Development Bank, Total",,2005,1202540000,
"African Development Bank, Total",,2006,2489114600,
"African Development Bank, Total",,2007,1514309100,
"African Development Bank, Total",,2008,1829043100,
"African Development Bank, Total",,2009,2897832200,
"African Development Bank, Total",,2010,1907667000,
"African Development Bank, Total",,2011,2235857200,
"African Development Bank, Total",,2012,2476115700,
"African Development Bank, Total",,2013,2315919600,
"African Development Bank, Total",,2014,2032228600,
"African Development Bank, Total",,2015,2401839000,
"African Development Bank, Total",,2016,2425834200,
"African Development Bank, Total",,2017,2764132400,
"African Development Bank, Total",,2018,2160907300,
"African Development Bank, Total",,2019,1748246400,
"African Development Bank, Total",,2020,2487727400,
"African Development Bank, Total",,2021,1919257500,
"African Development Bank, Total",,2022,888610800,
"African Development Bank, Total",,2023,1219152000,
African Development Fund,,1965,-446487,
African Development Fund,,1966,-276398880,
African Development Fund,,1967,-270981150,
African Development Fund,,1975,14932120,
African Development Fund,,1976,39710132,
African Development Fund,,1977,90419464,
African Development Fund,,1978,118210710,
African Development Fund,,1979,144603570,
African Development Fund,,1980,232369730,
African Development Fund,,1981,224267620,
African Development Fund,,1982,311085980,
African Development Fund,,1983,400858240,
African Development Fund,,1984,287709280,
African Development Fund,,1985,542103800,
African Development Fund,,1986,576044000,
African Development Fund,,1987,683307800,
African Development Fund,,1988,597182000,
African Development Fund,,1989,829322200,
African Development Fund,,1990,927945300,
African Development Fund,,1991,925490100,
African Development Fund,,1992,950480200,
African Development Fund,,1993,978985800,
African Development Fund,,1994,805736400,
African Development Fund,,1995,694899460,
African Development Fund,,1996,769500100,
African Development Fund,,1997,816166000,
African Development Fund,,1998,811609600,
African Development Fund,,1999,637247170,
African Development Fund,,2000,432439500,
African Development Fund,,2001,638094500,
African Development Fund,,2002,909260200,
African Development Fund,,2003,633929900,
African Development Fund,,2004,1117076700,
African Development Fund,,2005,1006248260,
African Development Fund,,2006,2280486000,
African Development Fund,,2007,1326897000,
African Development Fund,,2008,1649242400,
African Development Fund,,2009,2721593000,
African Development Fund,,2010,1774769700,
African Development Fund,,2011,2112625900,
African Development Fund,,2012,2360631600,
African Development Fund,,2013,2173232400,
African Development Fund,,2014,1895430300,
African Development Fund,,2015,2265663500,
African Development Fund,,2016,2248160000,
African Development Fund,,2017,2634068000,
African Development Fund,,2018,2058425600,
African Development Fund,,2019,1734293400,
African Development Fund,,2020,2480664800,
African Development Fund,,2021,1910532900,
African Development Fund,,2022,882944260,
African Development Fund,,2023,1210573200,
Arab Bank for Economic Development in Africa,,1976,8203031.5,
Arab Bank for Economic Development in Africa,,1977,26217516,
Arab Bank for Economic Development in Africa,,1978,87070950,
Arab Bank for Economic Development in Africa,,1979,109779900,
Arab Bank for Economic Development in Africa,,1980,87190180,
Arab Bank for Economic Development in Africa,,1981,69537080,
Arab Bank for Economic Development in Africa,,1982,77313570,
Arab Bank for Economic Development in Africa,,1983,70188300,
Arab Bank for Economic Development in Africa,,1984,43871204,
Arab Bank for Economic Development in Africa,,1985,24515572,
Arab Bank for Economic Development in Africa,,1986,62843476,
Arab Bank for Economic Development in Africa,,1987,14964681,
Arab Bank for Economic Development in Africa,,1988,-10146252,
Arab Bank for Economic Development in Africa,,1989,-20475012,
Arab Bank for Economic Development in Africa,,1990,-16327257,
Arab Bank for Economic Development in Africa,,1991,25024808,
Arab Bank for Economic Development in Africa,,1992,19902406,
Arab Bank for Economic Development in Africa,,1993,5878330,
Arab Bank for Economic Development in Africa,,1994,1585691,
Arab Bank for Economic Development in Africa,,1999,32037410,
Arab Bank for Economic Development in Africa,,2000,18961970,
Arab Bank for Economic Development in Africa,,2001,47596016,
Arab Bank for Economic Development in Africa,,2004,59045452,
Arab Bank for Economic Development in Africa,,2005,63678820,
Arab Bank for Economic Development in Africa,,2006,81752570,
Arab Bank for Economic Development in Africa,,2007,112470696,
Arab Bank for Economic Development in Africa,,2008,104078600,
Arab Bank for Economic Development in Africa,,2009,92324910,
Arab Bank for Economic Development in Africa,,2010,79110790,
Arab Bank for Economic Development in Africa,,2011,46027200,
Arab Bank for Economic Development in Africa,,2012,71992860,
Arab Bank for Economic Development in Africa,,2013,81065060,
Arab Bank for Economic Development in Africa,,2014,55566150,
Arab Bank for Economic Development in Africa,,2015,78135970,
Arab Fund,,1974,28930214,
Arab Fund,,1975,155764780,
Arab Fund,,1976,237216780,
Arab Fund,,1977,298920960,
Arab Fund,,1978,549985150,
Arab Fund,,1979,278694300,
Arab Fund,,1980,176514660,
Arab Fund,,1981,220700340,
Arab Fund,,1982,156967650,
Arab Fund,,1983,164026740,
Arab Fund,,1984,96661420,
Arab Fund,,1985,105055670,
Arab Fund,,1986,153695140,
Arab Fund,,1987,141140000,
Arab Fund,,1988,142541280,
Arab Fund,,1989,272977730,
Arab Fund,,1990,133741930,
Arab Fund,,1991,204861140,
Arab Fund,,1992,343722980,
Arab Fund,,1993,291593900,
Arab Fund,,1994,365119140,
Arab Fund,,2008,620351100,
Arab Fund,,2009,281232640,
Arab Fund,,2010,498070660,
Arab Fund,,2011,296396670,
Arab Fund,,2012,305835940,
Arab Fund,,2013,385263230,
Arab Fund,,2014,356416800,
Arab Fund,,2015,60210024,
Arab Fund,,2016,52949644,
Arab Fund,,2017,6095838,
Arab Fund,,2018,146762020,
Arab Fund,,2019,352745340,
Arab Fund,,2020,406306000,
Arab Fund,,2021,319878140,
Arab Fund,,2022,-44129030,
Arab Fund,,2023,-54668820,
Arcadia Fund,,2015,5303545,
Arcadia Fund,,2016,19769948,
Arcadia Fund,,2017,50198030,
Arcadia Fund,,2018,55223564,
Arcadia Fund,,2019,58689844,
Arcadia Fund,,2020,18264008,
Arcadia Fund,,2021,51248996,
Arcadia Fund,,2022,38135216,
Arcus Foundation,,2015,17301802,
Arcus Foundation,,2016,19041396,
Arcus Foundation,,2017,18214582,
Arcus Foundation,,2018,18352294,
Arcus Foundation,,2019,17131160,
Arcus Foundation,,2020,21498030,
Arcus Foundation,,2021,20411184,
Arcus Foundation,,2022,20975316,
Asian Development Bank,,2012,722765440,
Asian Development Bank,,2013,1001163970,
Asian Development Bank,,2014,1470416400,
Asian Development Bank,,2015,1591357800,
Asian Development Bank,,2016,1522418300,
Asian Development Bank,,2017,1199886200,
Asian Development Bank,,2018,732990300,
Asian Development Bank,,2019,1651406500,
Asian Development Bank,,2020,2894516700,
Asian Development Bank,,2021,1413720600,
Asian Development Bank,,2022,1535867600,
Asian Development Bank,,2023,1158790100,
Asian Infrastructure Investment Bank,,2018,232142,
Asian Infrastructure Investment Bank,,2019,1755818,
Asian Infrastructure Investment Bank,,2020,2561154,
Asian Infrastructure Investment Bank,,2021,1939906,
Asian Infrastructure Investment Bank,,2022,4205490,
Asian Infrastructure Investment Bank,,2023,6616220,
Australia,AUS,1960,669824200,
Australia,AUS,1961,798427900,
Australia,AUS,1962,824690750,
Australia,AUS,1963,1040219840,
Australia,AUS,1964,1054626240,
Australia,AUS,1965,1218380800,
Australia,AUS,1966,1313583200,
Australia,AUS,1967,1546114200,
Australia,AUS,1968,1485076700,
Australia,AUS,1969,1651905900,
Australia,AUS,1970,1788900100,
Australia,AUS,1971,1680127700,
Australia,AUS,1972,1933925200,
Australia,AUS,1973,1543724800,
Australia,AUS,1974,1860684800,
Australia,AUS,1975,2282532400,
Australia,AUS,1976,1482410900,
Australia,AUS,1977,1580054000,
Australia,AUS,1978,2080678900,
Australia,AUS,1979,2080061000,
Australia,AUS,1980,1971068300,
Australia,AUS,1981,1730974700,
Australia,AUS,1982,2379048400,
Australia,AUS,1983,2106242700,
Australia,AUS,1984,2108071800,
Australia,AUS,1985,2411913700,
Australia,AUS,1986,2368940300,
Australia,AUS,1987,1766812900,
Australia,AUS,1988,2565938400,
Australia,AUS,1989,2176242000,
Australia,AUS,1990,1969928200,
Australia,AUS,1991,2124525200,
Australia,AUS,1992,2163750100,
Australia,AUS,1993,2172832300,
Australia,AUS,1994,2283649500,
Australia,AUS,1995,2394931200,
Australia,AUS,1996,1997970800,
Australia,AUS,1997,2053536900,
Australia,AUS,1998,2185727200,
Australia,AUS,1999,2148060400,
Australia,AUS,2000,2308374500,
Australia,AUS,2001,2211425500,
Australia,AUS,2002,2314017500,
Australia,AUS,2003,2320946000,
Australia,AUS,2004,2365596700,
Australia,AUS,2005,2512795000,
Australia,AUS,2006,3059612200,
Australia,AUS,2007,3313616000,
Australia,AUS,2008,3494732300,
Australia,AUS,2009,3440430000,
Australia,AUS,2010,3848673800,
Australia,AUS,2011,4254683600,
Australia,AUS,2012,4630055400,
Australia,AUS,2013,4397910500,
Australia,AUS,2014,4243829500,
Australia,AUS,2015,4087278300,
Australia,AUS,2016,3836527400,
Australia,AUS,2017,3329339000,
Australia,AUS,2018,3464234500,
Australia,AUS,2019,3309269500,
Australia,AUS,2020,3293140200,
Australia,AUS,2021,3534767600,
Australia,AUS,2022,3078790100,
Australia,AUS,2023,3275500500,
Austria,AUT,1960,1442955,
Austria,AUT,1961,39868636,
Austria,AUT,1962,30333656,
Austria,AUT,1963,53519732,
Austria,AUT,1964,81493816,
Austria,AUT,1965,127273340,
Austria,AUT,1966,142086200,
Austria,AUT,1967,165011250,
Austria,AUT,1968,174353470,
Austria,AUT,1969,147232160,
Austria,AUT,1970,102957760,
Austria,AUT,1971,108063620,
Austria,AUT,1972,134914450,
Austria,AUT,1973,239427020,
Austria,AUT,1974,309581730,
Austria,AUT,1975,359556480,
Austria,AUT,1976,220479330,
Austria,AUT,1977,419820800,
Austria,AUT,1978,495623780,
Austria,AUT,1979,373315230,
Austria,AUT,1980,463328450,
Austria,AUT,1981,660300300,
Austria,AUT,1982,719414340,
Austria,AUT,1983,490073200,
Austria,AUT,1984,597364100,
Austria,AUT,1985,823042300,
Austria,AUT,1986,469422430,
Austria,AUT,1987,386003780,
Austria,AUT,1988,556455200,
Austria,AUT,1989,542851400,
Austria,AUT,1990,269457760,
Austria,AUT,1991,467138020,
Austria,AUT,1992,294972220,
Austria,AUT,1993,306758100,
Austria,AUT,1994,460989220,
Austria,AUT,1995,766417340,
Austria,AUT,1996,676400300,
Austria,AUT,1997,723575230,
Austria,AUT,1998,678032960,
Austria,AUT,1999,756797200,
Austria,AUT,2000,771075900,
Austria,AUT,2001,1120863000,
Austria,AUT,2002,865214340,
Austria,AUT,2003,691401340,
Austria,AUT,2004,829994940,
Austria,AUT,2005,1878773000,
Austria,AUT,2006,1739308500,
Austria,AUT,2007,1883706000,
Austria,AUT,2008,1661929000,
Austria,AUT,2009,1125850900,
Austria,AUT,2010,1241981600,
Austria,AUT,2011,1068523200,
Austria,AUT,2012,1127216300,
Austria,AUT,2013,1137876600,
Austria,AUT,2014,1174697700,
Austria,AUT,2015,1472911100,
Austria,AUT,2016,1792681500,
Austria,AUT,2017,1332364700,
Austria,AUT,2018,1164312800,
Austria,AUT,2019,1272027400,
Austria,AUT,2020,1310260200,
Austria,AUT,2021,1397019900,
Austria,AUT,2022,1836060000,
Austria,AUT,2023,1659003100,
Azerbaijan,AZE,2014,15805594,
Azerbaijan,AZE,2015,14263368,
Azerbaijan,AZE,2016,14878634,
Azerbaijan,AZE,2017,20379964,
Azerbaijan,AZE,2018,29517486,
Azerbaijan,AZE,2019,27488712,
Azerbaijan,AZE,2020,45617844,
Azerbaijan,AZE,2022,43992400,
Azerbaijan,AZE,2023,98182984,
Belgium,BEL,1960,1028772740,
Belgium,BEL,1961,928310340,
Belgium,BEL,1962,690806850,
Belgium,BEL,1963,767126140,
Belgium,BEL,1964,654207400,
Belgium,BEL,1965,883893100,
Belgium,BEL,1966,638426900,
Belgium,BEL,1967,719561400,
Belgium,BEL,1968,698570800,
Belgium,BEL,1969,889247900,
Belgium,BEL,1970,866738240,
Belgium,BEL,1971,981036900,
Belgium,BEL,1972,1104386800,
Belgium,BEL,1973,1109758800,
Belgium,BEL,1974,1139885300,
Belgium,BEL,1975,1335199700,
Belgium,BEL,1976,1173107200,
Belgium,BEL,1977,1105222700,
Belgium,BEL,1978,1344196900,
Belgium,BEL,1979,1435084000,
Belgium,BEL,1980,1273306000,
Belgium,BEL,1981,1485139100,
Belgium,BEL,1982,1475986300,
Belgium,BEL,1983,1501183200,
Belgium,BEL,1984,1497679600,
Belgium,BEL,1985,1453087400,
Belgium,BEL,1986,1319358300,
Belgium,BEL,1987,1363362000,
Belgium,BEL,1988,1148657900,
Belgium,BEL,1989,1374957300,
Belgium,BEL,1990,1434475400,
Belgium,BEL,1991,1331756000,
Belgium,BEL,1992,1268528000,
Belgium,BEL,1993,1220935700,
Belgium,BEL,1994,1039891140,
Belgium,BEL,1995,1287214800,
Belgium,BEL,1996,1188311300,
Belgium,BEL,1997,1138588200,
Belgium,BEL,1998,1311941900,
Belgium,BEL,1999,1170993800,
Belgium,BEL,2000,1431675300,
Belgium,BEL,2001,1528619300,
Belgium,BEL,2002,1765759600,
Belgium,BEL,2003,2501201400,
Belgium,BEL,2004,1762084500,
Belgium,BEL,2005,2315131000,
Belgium,BEL,2006,2257130500,
Belgium,BEL,2007,2003416200,
Belgium,BEL,2008,2281780200,
Belgium,BEL,2009,2571560700,
Belgium,BEL,2010,3054460400,
Belgium,BEL,2011,2671006200,
Belgium,BEL,2012,2336628000,
Belgium,BEL,2013,2218556200,
Belgium,BEL,2014,2339062500,
Belgium,BEL,2015,2149259500,
Belgium,BEL,2016,2555176700,
Belgium,BEL,2017,2350230800,
Belgium,BEL,2018,2363326700,
Belgium,BEL,2019,2302035200,
Belgium,BEL,2020,2395805200,
Belgium,BEL,2021,2494621000,
Belgium,BEL,2022,2687449900,
Belgium,BEL,2023,2680338700,
Bezos Earth Fund,,2020,322691260,
Bezos Earth Fund,,2021,352561020,
Bezos Earth Fund,,2022,169905600,
Bloomberg Family Foundation,,2017,213267920,
Bloomberg Family Foundation,,2018,245345250,
Bloomberg Family Foundation,,2019,162122910,
Bloomberg Family Foundation,,2020,217055660,
Bloomberg Family Foundation,,2021,295987100,
Bloomberg Family Foundation,,2022,387898340,
Bulgaria,BGR,2010,42213972,
Bulgaria,BGR,2011,47611628,
Bulgaria,BGR,2012,40315964,
Bulgaria,BGR,2013,49487652,
Bulgaria,BGR,2014,48441956,
Bulgaria,BGR,2015,45046270,
Bulgaria,BGR,2016,74958184,
Bulgaria,BGR,2017,67531700,
Bulgaria,BGR,2018,71295760,
Bulgaria,BGR,2019,69267320,
Bulgaria,BGR,2020,88110900,
Bulgaria,BGR,2021,88459730,
Bulgaria,BGR,2022,232451150,
Bulgaria,BGR,2023,162688240,
CGIAR,,2022,82847000,
CGIAR,,2023,80370050,
Canada,CAN,1960,525943100,
Canada,CAN,1961,509529540,
Canada,CAN,1962,364893800,
Canada,CAN,1963,558887500,
Canada,CAN,1964,655441150,
Canada,CAN,1965,781973500,
Canada,CAN,1966,1486416400,
Canada,CAN,1967,1439482600,
Canada,CAN,1968,1378330100,
Canada,CAN,1969,1456848500,
Canada,CAN,1970,2112125000,
Canada,CAN,1971,2251116500,
Canada,CAN,1972,2507189800,
Canada,CAN,1973,2539004200,
Canada,CAN,1974,2996243500,
Canada,CAN,1975,3455919000,
Canada,CAN,1976,3089659100,
Canada,CAN,1977,3489292000,
Canada,CAN,1978,3746372400,
Canada,CAN,1979,3482338300,
Canada,CAN,1980,3223205000,
Canada,CAN,1981,3312238000,
Canada,CAN,1982,3151681000,
Canada,CAN,1983,3555967700,
Canada,CAN,1984,4102799400,
Canada,CAN,1985,4203370200,
Canada,CAN,1986,4309713400,
Canada,CAN,1987,4365874000,
Canada,CAN,1988,4825821700,
Canada,CAN,1989,4383191000,
Canada,CAN,1990,4447639000,
Canada,CAN,1991,4468186000,
Canada,CAN,1992,4486952000,
Canada,CAN,1993,4510721000,
Canada,CAN,1994,4412600300,
Canada,CAN,1995,3983650600,
Canada,CAN,1996,3379971800,
Canada,CAN,1997,3864456700,
Canada,CAN,1998,3461369900,
Canada,CAN,1999,3400623600,
Canada,CAN,2000,3329699600,
Canada,CAN,2001,3002015500,
Canada,CAN,2002,3931360500,
Canada,CAN,2003,3440213500,
Canada,CAN,2004,3962612500,
Canada,CAN,2005,5171838500,
Canada,CAN,2006,4628001000,
Canada,CAN,2007,4701071000,
Canada,CAN,2008,5318097400,
Canada,CAN,2009,4819315700,
Canada,CAN,2010,5514827300,
Canada,CAN,2011,5369315300,
Canada,CAN,2012,5547348000,
Canada,CAN,2013,4922296300,
Canada,CAN,2014,4437441500,
Canada,CAN,2015,5225628000,
Canada,CAN,2016,4941606400,
Canada,CAN,2017,5168344600,
Canada,CAN,2018,5474151000,
Canada,CAN,2019,5392190000,
Canada,CAN,2020,5818318300,
Canada,CAN,2021,6459481000,
Canada,CAN,2022,9274140000,
Canada,CAN,2023,9294636000,
Caribbean Development Bank,,1973,3508599,
Caribbean Development Bank,,1974,12760759,
Caribbean Development Bank,,1975,60423000,
Caribbean Development Bank,,1976,36652640,
Caribbean Development Bank,,1977,41080988,
Caribbean Development Bank,,1978,58879704,
Caribbean Development Bank,,1979,66703710,
Caribbean Development Bank,,1980,104240170,
Caribbean Development Bank,,1981,96242100,
Caribbean Development Bank,,1982,92043590,
Caribbean Development Bank,,1983,78266430,
Caribbean Development Bank,,1984,41466948,
Caribbean Development Bank,,1985,52669770,
Caribbean Development Bank,,1986,52878416,
Caribbean Development Bank,,1987,65475052,
Caribbean Development Bank,,1988,57115244,
Caribbean Development Bank,,1989,65179908,
Caribbean Development Bank,,1990,59569096,
Caribbean Development Bank,,1991,36710930,
Caribbean Development Bank,,1992,34100396,
Caribbean Development Bank,,1993,23828744,
Caribbean Development Bank,,1994,33422550,
Caribbean Development Bank,,1995,-28949570,
Caribbean Development Bank,,1996,728681,
Caribbean Development Bank,,1997,415444,
Caribbean Development Bank,,1998,4356519,
Caribbean Development Bank,,1999,16254887,
Caribbean Development Bank,,2000,28651726,
Caribbean Development Bank,,2001,48571716,
Caribbean Development Bank,,2002,92769590,
Caribbean Development Bank,,2003,32207244,
Caribbean Development Bank,,2004,44466330,
Caribbean Development Bank,,2005,32819634,
Caribbean Development Bank,,2006,36354776,
Caribbean Development Bank,,2007,43450964,
Caribbean Development Bank,,2008,65055464,
Caribbean Development Bank,,2009,71478024,
Caribbean Development Bank,,2010,57571144,
Caribbean Development Bank,,2011,38055844,
Caribbean Development Bank,,2012,42435200,
Caribbean Development Bank,,2013,64687784,
Caribbean Development Bank,,2014,86363440,
Caribbean Development Bank,,2015,31904336,
Caribbean Development Bank,,2016,-26605612,
Caribbean Development Bank,,2017,5379421,
Caribbean Development Bank,,2018,18687920,
Caribbean Development Bank,,2019,191185280,
Caribbean Development Bank,,2020,163165520,
Caribbean Development Bank,,2021,119197400,
Caribbean Development Bank,,2022,7674000,
Caribbean Development Bank,,2023,15391993,
Carnegie Corporation of New York,,2017,28502508,
Carnegie Corporation of New York,,2018,21298614,
Carnegie Corporation of New York,,2019,27182782,
Carnegie Corporation of New York,,2020,22154626,
Carnegie Corporation of New York,,2021,15558414,
Carnegie Corporation of New York,,2022,23620100,
Center of Excellence in Finance,,2016,980087,
Center of Excellence in Finance,,2017,978645,
Center of Excellence in Finance,,2018,1228389,
Center of Excellence in Finance,,2019,1185823,
Center of Excellence in Finance,,2020,1171387,
Center of Excellence in Finance,,2021,1147059,
Center of Excellence in Finance,,2022,1051635,
Center of Excellence in Finance,,2023,1036277.06,
Central American Bank for Economic Integration,,2020,490267460,
Central American Bank for Economic Integration,,2021,290177300,
Central American Bank for Economic Integration,,2022,1226402400,
Central American Bank for Economic Integration,,2023,896917900,
Central Emergency Response Fund,,2017,453838050,
Central Emergency Response Fund,,2018,520936030,
Central Emergency Response Fund,,2019,569551300,
Central Emergency Response Fund,,2020,871797300,
Central Emergency Response Fund,,2021,531581860,
Central Emergency Response Fund,,2022,734648960,
Central Emergency Response Fund,,2023,640107900,
Children's Investment Fund Foundation,,2017,227754960,
Children's Investment Fund Foundation,,2018,246109020,
Children's Investment Fund Foundation,,2019,289562000,
Children's Investment Fund Foundation,,2020,362834270,
Children's Investment Fund Foundation,,2021,332492350,
Children's Investment Fund Foundation,,2022,397396640,
Citi Foundation,,2017,29350498,
Citi Foundation,,2018,31871688,
Citi Foundation,,2019,30534550,
Citi Foundation,,2020,32957664,
Citi Foundation,,2021,20881922,
Climate Investment Funds,,2013,150551980,
Climate Investment Funds,,2014,348550000,
Climate Investment Funds,,2015,451857700,
Climate Investment Funds,,2016,56850564,
Climate Investment Funds,,2017,371594980,
Climate Investment Funds,,2018,422804100,
Climate Investment Funds,,2019,70576900,
Climate Investment Funds,,2020,616821500,
Climate Investment Funds,,2021,211616050,
Climate Investment Funds,,2022,222706340,
Climate Investment Funds,,2023,352171330,
Comic Relief,,2013,42076804,
Comic Relief,,2014,62139704,
Comic Relief,,2015,65172060,
Comic Relief,,2016,48560252,
Comic Relief,,2017,54866188,
Comic Relief,,2018,37546708,
Comic Relief,,2019,49061510,
Comic Relief,,2020,27080936,
Comic Relief,,2021,22780584,
Conrad N. Hilton Foundation,,2013,46127100,
Conrad N. Hilton Foundation,,2014,49896324,
Conrad N. Hilton Foundation,,2015,54105970,
Conrad N. Hilton Foundation,,2016,53065850,
Conrad N. Hilton Foundation,,2017,59673690,
Conrad N. Hilton Foundation,,2018,53528524,
Conrad N. Hilton Foundation,,2019,47928576,
Conrad N. Hilton Foundation,,2020,75185790,
Conrad N. Hilton Foundation,,2021,147408880,
Conrad N. Hilton Foundation,,2022,200538690,
Council of Europe Development Bank,,2011,129377610,
Council of Europe Development Bank,,2012,93378600,
Council of Europe Development Bank,,2013,117053040,
Council of Europe Development Bank,,2014,68476700,
Council of Europe Development Bank,,2015,47009756,
Council of Europe Development Bank,,2016,92218790,
Council of Europe Development Bank,,2017,67656696,
Council of Europe Development Bank,,2018,6950033,
Council of Europe Development Bank,,2019,43924292,
Council of Europe Development Bank,,2020,-9700853,
Council of Europe Development Bank,,2021,-6518645,
Council of Europe Development Bank,,2022,-47569090,
Council of Europe Development Bank,,2023,-51872060,
Croatia,HRV,2012,21555670,
Croatia,HRV,2013,44932596,
Croatia,HRV,2014,71752220,
Croatia,HRV,2015,56580230,
Croatia,HRV,2016,45012576,
Croatia,HRV,2017,58188164,
Croatia,HRV,2018,82109816,
Croatia,HRV,2019,76917450,
Croatia,HRV,2020,79142080,
Croatia,HRV,2021,85132790,
Croatia,HRV,2022,138217390,
Croatia,HRV,2023,170774400,
Cyprus,CYP,2005,17832904,
Cyprus,CYP,2006,29709524,
Cyprus,CYP,2007,37082692,
Cyprus,CYP,2008,37998076,
Cyprus,CYP,2009,47954150,
Cyprus,CYP,2010,53348700,
Cyprus,CYP,2011,37012680,
Cyprus,CYP,2012,25309748,
Cyprus,CYP,2013,20323326,
Cyprus,CYP,2014,18423272,
Cyprus,CYP,2015,20074370,
Cyprus,CYP,2018,26020352,
Cyprus,CYP,2019,21154128,
Cyprus,CYP,2020,15243637,
Cyprus,CYP,2021,19834544,
Cyprus,CYP,2022,13705465,
Cyprus,CYP,2023,11253590,
Czechia,CZE,1993,69692800,
Czechia,CZE,1994,78246296,
Czechia,CZE,1998,38981350,
Czechia,CZE,1999,37123556,
Czechia,CZE,2000,44459340,
Czechia,CZE,2001,68371810,
Czechia,CZE,2002,98271390,
Czechia,CZE,2003,166175180,
Czechia,CZE,2004,174458340,
Czechia,CZE,2005,202803800,
Czechia,CZE,2006,226127220,
Czechia,CZE,2007,218151760,
Czechia,CZE,2008,254703490,
Czechia,CZE,2009,234151260,
Czechia,CZE,2010,252954900,
Czechia,CZE,2011,257916750,
Czechia,CZE,2012,246485420,
Czechia,CZE,2013,233718270,
Czechia,CZE,2014,243271760,
Czechia,CZE,2015,267691170,
Czechia,CZE,2016,343977060,
Czechia,CZE,2017,379690900,
Czechia,CZE,2018,345385660,
Czechia,CZE,2019,355248060,
Czechia,CZE,2020,333496830,
Czechia,CZE,2021,368978750,
Czechia,CZE,2022,1051260000,
Czechia,CZE,2023,707584640,
DAC EU countries,,1960,11605083000,
DAC EU countries,,1961,13006537000,
DAC EU countries,,1962,13169264000,
DAC EU countries,,1963,11234262000,
DAC EU countries,,1964,11276677000,
DAC EU countries,,1965,10988760000,
DAC EU countries,,1966,10814903000,
DAC EU countries,,1967,12663011000,
DAC EU countries,,1968,12900721000,
DAC EU countries,,1969,13998894000,
DAC EU countries,,1970,13990109000,
DAC EU countries,,1971,15063818000,
DAC EU countries,,1972,14967575000,
DAC EU countries,,1973,15294874000,
DAC EU countries,,1974,17393822000,
DAC EU countries,,1975,18486030000,
DAC EU countries,,1976,18353467000,
DAC EU countries,,1977,18424523000,
DAC EU countries,,1978,20334944000,
DAC EU countries,,1979,22960407000,
DAC EU countries,,1980,24512450000,
DAC EU countries,,1981,27273079000,
DAC EU countries,,1982,29282214000,
DAC EU countries,,1983,28014633000,
DAC EU countries,,1984,30808834000,
DAC EU countries,,1985,31587607000,
DAC EU countries,,1986,32811086000,
DAC EU countries,,1987,32553980000,
DAC EU countries,,1988,33962620000,
DAC EU countries,,1989,37400030000,
DAC EU countries,,1990,36913940000,
DAC EU countries,,1991,38635094000,
DAC EU countries,,1992,39674550000,
DAC EU countries,,1993,38135054000,
DAC EU countries,,1994,37374185000,
